WF-BOOKING-028,CheckoutPage,Checkout Page - Apply Voucher Code,"1. Navigate to checkout page with booking data
2. Enter valid voucher code in ""Mã voucher"" input field
3. Click ""Áp dụng"" or ""Apply"" button
4. Verify voucher is applied","1. System validates voucher code
2. Voucher discount is applied to total price
3. System displays message: ""Voucher đã được áp dụng""
4. Total price is recalculated with discount
5. Discount amount is shown separately","Valid voucher exists in database. Voucher is active and not expired"
WF-BOOKING-029,CheckoutPage,Checkout Page - Invalid Voucher Code,"1. Navigate to checkout page
2. Enter invalid voucher code (e.g., ""INVALID123"")
3. Click ""Áp dụng"" button","1. System displays error message: ""Mã voucher không hợp lệ"" or ""Voucher không tồn tại""
2. Voucher discount is not applied
3. Total price remains unchanged","User is on checkout page"
WF-BOOKING-030,CheckoutPage,Checkout Page - Select Service Packages,"1. Navigate to checkout page
2. View ""Gói dịch vụ"" or ""Service Packages"" section
3. Select service package from list
4. Set quantity for selected package
5. Review updated total price","1. System displays available service packages
2. User can select packages and set quantity
3. Total price is updated to include service package costs
4. Service package details are shown (name, price, quantity)
5. Updated total is calculated correctly","Service packages exist in database. User is on checkout page"
WF-BOOKING-031,CheckoutPage,Checkout Page - Use Reward Points,"1. Navigate to checkout page
2. View ""Điểm thưởng"" or ""Reward Points"" section
3. Check ""Sử dụng điểm thưởng"" checkbox
4. Verify points are applied to discount","1. System shows available reward points
2. User can toggle ""Use reward points"" option
3. Points are converted to discount amount
4. Total price is reduced by discount amount
5. Remaining points balance is shown","User has reward points in account. User is on checkout page"
,,,,
Scenario B: Payment Workflow - Enhanced (15 test cases),,,,
WF-PAYMENT-013,PayPage,Payment Page - View Payment Link,"1. Complete booking creation
2. Navigate to payment page (/pay-done) or payment link is displayed
3. View payment information","1. System displays payment link or QR code
2. Payment amount is shown correctly
3. Order code is displayed
4. User can copy payment link
5. ""Thanh toán ngay"" button redirects to PayOS","Booking is created. Payment link is generated"
WF-PAYMENT-014,PayPage,Payment Page - QR Code Display,"1. Navigate to payment page
2. View QR code section","1. QR code is displayed clearly
2. QR code is scannable
3. QR code contains payment information
4. User can download or print QR code","Payment link is generated. QR code is available"
WF-PAYMENT-015,PaymentSuccess,Payment Success Page - After Successful Payment,"1. Complete payment on PayOS
2. PayOS redirects to payment success page (/payment/success)
3. View success page","1. System displays success message: ""Thanh toán thành công""
2. Booking confirmation is shown
3. Booking ID is displayed
4. Booking status is updated to ""Đã xác nhận""
5. User can navigate to booking history","Payment is completed successfully on PayOS"
WF-PAYMENT-016,PaymentCancel,Payment Cancel Page - After Cancelled Payment,"1. Cancel payment on PayOS
2. PayOS redirects to payment cancel page (/payment/cancel)
3. View cancel page","1. System displays message: ""Thanh toán đã bị hủy""
2. Booking status remains ""Chờ thanh toán""
3. User can retry payment
4. Link to booking detail is provided","User cancels payment on PayOS page"
WF-PAYMENT-017,PaymentStatus,Check Payment Status - From Booking History,"1. Navigate to ""Lịch sử đặt phòng"" or ""Booking History"" page
2. Click on a pending booking
3. View booking detail page
4. Click ""Kiểm tra trạng thái thanh toán"" button","1. System displays payment status information
2. Shows: status (Pending/Paid/Cancelled), amount, orderCode, payment date
3. Status is updated in real-time
4. User can see payment history","Booking with payment link exists. User is logged in"
,,,,
Scenario C: Refund Workflow - Enhanced (18 test cases),,,,
WF-REFUND-016,RequestRefundPage,Request Refund Page - View Booking Information,"1. Navigate to ""Lịch sử đặt phòng"" page
2. Click on a confirmed or cancelled booking
3. Click ""Yêu cầu hoàn tiền"" button
4. Navigate to refund request page (/request-refund/:id)","1. System displays booking information:
   - Booking ID
   - Condotel name
   - Check-in and check-out dates
   - Total price
   - Booking status
2. Refund amount is calculated and displayed
3. Bank information form is visible","Booking exists and is eligible for refund. User is logged in as Tenant"
WF-REFUND-017,RequestRefundPage,Request Refund Page - Fill Bank Information,"1. Navigate to refund request page
2. Select bank from dropdown (e.g., ""Vietcombank - VCB"")
3. Enter account number: 1234567890
4. Enter account holder name: [Tenant name]
5. Review form before submitting","1. Bank dropdown shows list of Vietnamese banks
2. All fields are filled correctly
3. Form validation works (required fields)
4. Account number format is validated
5. Account holder name is validated","User is on refund request page. Booking is eligible for refund"
WF-REFUND-018,RequestRefundPage,Request Refund Page - Submit Without Bank Info,"1. Navigate to refund request page
2. Leave bank information fields empty
3. Click ""Gửi yêu cầu hoàn tiền"" button","1. System uses bank info from Wallet (if available)
2. Or system displays message prompting for bank info
3. Refund request is created with wallet bank info
4. Confirmation message is shown","User has wallet with bank information. Booking is eligible for refund"
WF-REFUND-019,RefundPolicy,View Refund Policy Page,"1. Navigate to ""Chính sách hoàn tiền"" or ""Refund Policy"" page (/refund-policy)
2. View refund policy content","1. System displays refund policy information
2. Policy includes: conditions, timeframes, process, contact information
3. Policy is clearly formatted and readable
4. User can navigate back to previous page","Refund policy page exists"
,,,,
Scenario D: Review Workflow - Enhanced (12 test cases),,,,
WF-REVIEW-011,WriteReviewPage,Write Review Page - View Booking Information,"1. Navigate to ""Lịch sử đặt phòng"" page
2. Click on a completed booking
3. Click ""Viết đánh giá"" button
4. Navigate to write review page (/write-review/:id)","1. System displays booking information:
   - Booking ID
   - Condotel name and image
   - Check-in and check-out dates
   - Booking dates
2. Review form is visible with:
   - Star rating selector (1-5 stars)
   - Title input field
   - Comment textarea
3. Submit button is available","Booking exists with status ""Completed"". User is logged in as Tenant"
WF-REVIEW-012,WriteReviewPage,Write Review Page - Select Rating,"1. Navigate to write review page
2. Click on star rating (e.g., click 5th star for 5-star rating)
3. Verify rating is selected","1. Selected stars are highlighted (yellow/gold color)
2. Unselected stars are gray
3. Rating value is stored (1-5)
4. User can change rating by clicking different star
5. Rating is visually clear","User is on write review page"
WF-REVIEW-013,WriteReviewPage,Write Review Page - Fill Review Form,"1. Navigate to write review page
2. Select rating: 5 stars
3. Enter title: ""Trải nghiệm tuyệt vời""
4. Enter comment: ""Căn hộ rất đẹp và tiện nghi...""
5. Review form before submitting","1. All fields are filled correctly
2. Title and comment are saved in form state
3. Form validation works (rating is required)
4. Character count is shown (if applicable)
5. Submit button is enabled","User is on write review page"
WF-REVIEW-014,MyReviewsPage,My Reviews Page - View Reviews List,"1. Navigate to ""Đánh giá của tôi"" or ""My Reviews"" page (/my-reviews)
2. View reviews list","1. System displays list of all reviews created by user
2. Each review shows:
   - Condotel name and image
   - Rating (stars)
   - Title and comment
   - Date created
   - Edit/Delete buttons (if within 7 days)
3. Reviews are ordered by date (newest first)
4. Only non-deleted reviews are shown","User has created multiple reviews. User is logged in as Tenant"
WF-REVIEW-015,MyReviewsPage,My Reviews Page - Edit Review,"1. Navigate to ""My Reviews"" page
2. Click ""Chỉnh sửa"" button on a review (created < 7 days ago)
3. Update rating and comment
4. Click ""Lưu thay đổi"" button","1. Review form opens with existing data
2. User can update rating and comment
3. Changes are saved successfully
4. Updated review is displayed
5. Updated timestamp is shown","Review exists and was created < 7 days ago. User is logged in"
WF-REVIEW-016,MyReviewsPage,My Reviews Page - Edit Review After 7 Days,"1. Navigate to ""My Reviews"" page
2. Try to click ""Chỉnh sửa"" button on a review (created > 7 days ago)","1. ""Chỉnh sửa"" button is disabled or not shown
2. System displays message: ""Bạn chỉ có thể chỉnh sửa review trong vòng 7 ngày""
3. Review cannot be edited","Review exists and was created > 7 days ago. User is logged in"
,,,,
Scenario E: Host Management - Enhanced (10 test cases),,,,
WF-HOST-001,HostDashboard,Host Dashboard - View Condotels Tab,"1. Login the system with Host role
2. Navigate to ""Host Dashboard"" page (/host-dashboard)
3. View ""Condotels"" tab (default tab)","1. System displays list of host's condotels
2. Each condotel shows: name, image, status, price, number of bookings
3. ""Thêm Condotel mới"" button is visible
4. ""Chỉnh sửa"" and ""Xóa"" buttons are available for each condotel
5. User can click on condotel to view details","User is logged in as Host role. Host has condotels in database"
WF-HOST-002,HostDashboard,Host Dashboard - View Bookings Tab,"1. Navigate to Host Dashboard
2. Click on ""Bookings"" tab
3. View bookings list","1. System displays list of bookings for host's condotels
2. Each booking shows: booking ID, condotel name, customer name, dates, status, total price
3. Host can update booking status (Pending → Confirmed → Completed)
4. Status update buttons are available
5. Bookings are filtered by host's condotels","User is logged in as Host role. Bookings exist for host's condotels"
WF-HOST-003,HostDashboard,Host Dashboard - View Service Package Tab,"1. Navigate to Host Dashboard
2. Click on ""Gói dịch vụ"" or ""Service Package"" tab
3. View service package information","1. System displays current active package (if any)
2. Shows: package name, status, start date, end date, condotel limit
3. Shows current condotel count vs limit
4. ""Mua gói mới"" button is visible (if no package or package expired)
5. Package details are clearly displayed","User is logged in as Host role"
WF-HOST-004,AddCondotel,Add Condotel - Fill Condotel Form,"1. Navigate to Host Dashboard
2. Click ""Thêm Condotel mới"" button
3. Navigate to add condotel page (/add-condotel)
4. Fill condotel form:
   - Enter name: ""Luxury Apartment""
   - Enter description: ""Beautiful apartment...""
   - Select resort
   - Enter price per night: 500000
   - Enter beds: 2
   - Enter bathrooms: 1
   - Select amenities
   - Upload images","1. All form fields are available and functional
2. Form validation works (required fields)
3. Image upload works correctly
4. Amenities selection works
5. Form can be saved as draft or submitted","User is logged in as Host role. Host has active service package"
WF-HOST-005,AddCondotel,Add Condotel - Package Limit Validation,"1. Navigate to add condotel page
2. Host has reached condotel limit (e.g., 3/3)
3. Try to create new condotel
4. Fill form and click ""Tạo"" button","1. System displays error message: ""Bạn đã đạt đến số lượng condotel tối đa""
2. Condotel cannot be created
3. User is advised to upgrade package
4. Link to package purchase page is shown","Host has reached condotel limit. User is logged in as Host"
,,,,
Scenario F: Admin Management - Enhanced (5 test cases),,,,
WF-ADMIN-001,AdminRefundPage,Admin Refund Page - View Refund Requests,"1. Login the system with Admin role
2. Navigate to ""Quản lý hoàn tiền"" or ""Refund Management"" page (/admin/refunds)
3. View refund requests list","1. System displays list of all refund requests
2. Each request shows: booking ID, customer name, amount, status, date, bank info
3. Filter options are available (by status: All, Pending, Completed, Rejected)
4. Search functionality works
5. ""Xác nhận hoàn tiền"" button is available for pending requests","User is logged in as Admin role. Refund requests exist in database"
WF-ADMIN-002,AdminRefundPage,Admin Refund Page - Filter by Status,"1. Navigate to Admin Refund page
2. Click on filter dropdown
3. Select ""Đang chờ"" or ""Pending"" status
4. Click ""Lọc"" button","1. System displays only pending refund requests
2. Other status requests are hidden
3. Filter is applied correctly
4. Filter count is updated
5. User can clear filter to show all","Refund requests with different statuses exist. User is logged in as Admin"
WF-ADMIN-003,AdminPayoutPage,Admin Payout Page - View Pending Payouts,"1. Navigate to ""Quản lý thanh toán Host"" or ""Payout Management"" page (/admin/payouts)
2. View ""Chờ thanh toán"" or ""Pending Payouts"" tab
3. View pending payouts list","1. System displays list of pending payouts
2. Each payout shows: booking ID, condotel name, host name, amount, end date, days since completed
3. ""Xác nhận thanh toán"" button is available for each payout
4. ""Xử lý tất cả"" button is available
5. Payouts are filtered correctly (>= 15 days, no refund request)","User is logged in as Admin role. Completed bookings >= 15 days ago exist"
WF-ADMIN-004,AdminPayoutPage,Admin Payout Page - Process Single Payout,"1. Navigate to Admin Payout page
2. Click on a pending payout from list
3. View payout detail page
4. Review payout information (booking, host, amount, bank info)
5. Click ""Xác nhận thanh toán"" button
6. Confirm action in popup dialog","1. System displays payout detail information
2. All information is correct (booking, host, amount, bank)
3. Confirmation dialog appears
4. After confirmation, payout is processed
5. System displays message: ""Đã trả tiền thành công cho host""
6. Payout moves to ""Đã thanh toán"" section","Pending payout exists. User is logged in as Admin. Host has wallet"
WF-ADMIN-005,AdminPayoutPage,Admin Payout Page - Process All Payouts,"1. Navigate to Admin Payout page
2. View pending payouts list
3. Click ""Xử lý tất cả"" or ""Process All"" button
4. Confirm action in popup dialog","1. System displays confirmation dialog with count of payouts to process
2. After confirmation, all eligible payouts are processed
3. System displays message: ""Đã xử lý {count} booking và trả {amount} VNĐ""
4. All processed payouts move to ""Đã thanh toán"" section
5. ProcessedCount and TotalAmount are shown correctly","Multiple pending payouts exist. User is logged in as Admin"

